buy,sell,r_port,r_bench,excess,eq_port,eq_bench
2025-10-09,2025-10-16,-0.020690339453430115,-0.042044275719861024,0.02135393626643091,0.9793096605465699,0.957955724280139
2025-10-16,2025-10-23,-0.016760273277278085,-0.012249129990953511,-0.004511143286324574,0.9628961630127308,0.9462216000878535
2025-10-23,2025-10-30,0.10695234514200663,0.03398551915636028,0.07296682598564636,1.0658801657751824,0.9783794324038011
2025-10-30,2025-11-06,0.00525872830592282,-0.005414238385444636,0.010672966691367455,1.0714853399736661,0.9730822529253509
2025-11-06,2025-11-13,0.02423426480833211,0.0013025266539454794,0.022931738154386632,1.0974519994408336,0.9743497184962675
2025-11-13,2025-11-20,-0.09156501436302038,-0.039881630787959366,-0.05168338357506101,0.9969637913493082,0.9354910627648472
2025-11-20,2025-11-27,-0.020929984351723864,-0.015670742500300983,-0.005259241851422881,0.9760973547971319,0.9208312232089263
2025-11-27,2025-12-04,0.010372751725451167,0.008850451225989264,0.0015223004994619031,0.9862221703183123,0.9289809950373049
2025-12-04,2025-12-11,-0.01051558845140563,0.009994144997024001,-0.02050973344842963,0.9758514638535928,0.9382653658011874
2025-12-11,2025-12-18,-0.01299579354475189,0.0025332868927994134,-0.015529080437551303,0.9631694996990076,0.9406422611543391
2025-12-18,2025-12-25,0.03700170163354558,0.04363936866025364,-0.006637667026708059,0.9988084101494016,0.9816912955662679
2025-12-25,2026-01-05,0.05972922847954732,0.03245113290059032,0.027278095578957003,1.0584664658865086,1.0135482902660415
2026-01-05,2026-01-12,0.12820609289659468,0.07814854614924349,0.05005754674735119,1.1941683159398846,1.092755615602384
2026-01-12,2026-01-19,-0.02998234963275942,0.004705830725380888,-0.03468818035814031,1.1583643439710116,1.0978979385536183
2026-01-19,2026-01-26,0.03538137428395612,0.026393267234937623,0.0089881070490185,1.1993488663822394,1.126875052242551
2026-01-26,2026-02-02,0.000195461359721889,-0.05520911592789335,0.05540457728761524,1.1995832927424435,1.0646612768470411
2026-02-02,2026-02-09,0.032814807148907214,0.03412161632520205,-0.001306809176294839,1.2389473871528378,1.1009892404519157
2026-02-09,2026-02-24,0.0025959682289285503,0.009821227360444773,-0.007225259131516223,1.2421636552072006,1.1118023061037974
2026-02-24,2026-03-03,0.031247863617352576,-0.013260716485700486,0.04450858010305306,1.2809786156955474,1.097059010934407
2026-03-03,2026-03-10,0.016766360961634554,0.015539120755929892,0.0012272402057046626,1.302455965550434,1.1141063433816978
2026-03-10,2026-03-17,-0.05752350560054825,-0.046880237251856416,-0.010643268348691837,1.227534132521626,1.0618767736801655
2026-03-17,2026-03-24,-0.051396464384275586,-0.05222700125972646,0.0008305368754508713,1.1644432181989957,1.0064181340834972
2026-03-24,2026-03-31,0.007421022268357986,0.0026263025390487194,0.004794719729309267,1.1730845772514888,1.0090612925843854
2026-03-31,2026-04-08,0.038024376346661865,0.043037018502293245,-0.0050126421556313805,1.2176903867033642,1.0524882821032875
2026-04-08,2026-04-15,0.015396089236657891,0.012450861550431958,0.0029452276862259336,1.2364380565596695,1.0655926679872074
2026-04-15,2026-04-22,0.008489011973823667,0.041285532199654584,-0.03279652022583092,1.2469341940266958,1.109586228393109
2026-04-22,2026-04-29,-0.027960153711477392,-0.004030357032638099,-0.023929796678839294,1.212069722293612,1.1051141997341865
