code,weight,score,hits
600536,9.3046499735821,0,[]
002261,7.62709387709896,130,"['警示函', '信息披露违规', '责令改正', '虚假记载']"
688172,5.34742509656657,0,[]
301308,5.19494553229578,0,[]
688347,4.80809106782631,0,[]
002624,4.76163938121705,16,['*ST']
688266,4.68567346120356,2,['减持']
000657,4.60887109737172,0,[]
688361,4.53476356506654,0,[]
600487,4.056823880757,0,[]
300857,3.82030651549285,0,[]
603179,3.58542702726332,0,[]
688387,3.5502938142701397,0,[]
002080,3.4009757262395897,0,[]
000960,3.2575092711348,0,[]
300570,3.0286283439573998,0,[]
002436,2.92518948179866,0,[]
300604,2.8462856530312797,0,[]
688183,2.76669754332265,0,[]
688615,2.6439792516237697,0,[]
300679,2.3365440335506498,0,[]
688777,2.3166563350765,0,[]
000967,2.2435419810883,0,[]
002851,1.94833354834752,8,['*ST']
600816,1.35734447705583,0,[]
600208,1.07676017973935,16,['*ST']
002353,0.98361433003107,8,['*ST']
688037,0.65691167823813,0,[]
600988,0.22512364519180003,0,[]
600884,0.09990023056067,0,[]
